IT#WIKIDATA#Q1462905	comune$NOM francese$ADJ
IT#WIKI#Francesca_Saverio_Cabrini	diplomato$NOM maestro$ADJ elementare,$NOM maturare$VER:remo il$DET:def vocazione$NOM religioso$ADJ nel$PRE:det collegio$NOM del$PRE:det sacro$NOM cuore$NOM di$PRE Arluno,$NOM fattasi$NOM religioso$ADJ nel$PRE:det @card@$NUM nel$PRE:det @card@$NUM fondare$VER:remo a$PRE Codogno$NOM il$DET:def congregazione$NOM del$PRE:det missionario$NOM del$PRE:det sacro$NOM cuore$NOM di$PRE Gesù$NOM e$CON aggiungere$VER:remo al$PRE:det proprio$ADJ nome$NOM il$DET:def cognome$NOM Saverio,$NOM in$PRE onore$NOM di$PRE San$NPR Francesco$NPR Saverio,$NOM sacerdote$NOM missionario$ADJ nell'Estremo$VER:futu Oriente.$NOM
IT#WIKIDATA#Q491096	essere|stare$VER:pper sudsudanese$NOM
IT#WIKIDATA#Q636339	comune$NOM francese$ADJ
IT#WIKIDATA#Q368572	regno$NOM di$PRE Arda$NOM
IT#WIKI#José_Patiño_Rosales	era$NOM nascere$VER:pper in$PRE una$DET:indef famiglia$NOM del$PRE:det piccolo$ADJ nobiltà$NOM gallega$VER:pres fedele$ADJ al$PRE:det dinastia$NOM borbonica,$NOM figlio$NOM cadetto$ADJ di$PRE don$NOM Lucas$NPR Patiño$NOM de$NPR Ibarra,$NOM signore$NOM di$PRE Castelar,$NOM e$CON di$PRE Beatrice$NOM de$NPR Rosales$NOM y$NOM Facini.$ABR
IT#WIKIDATA#Q44567	Wrestler$NOM e$CON attore$NOM statunitense$ADJ
IT#WIKIDATA#Q1110599	galassia$NOM nel$PRE:det costellazione$NOM del$PRE:det vergine$NOM
IT#WIKI#Opel_Kapitän	il$DET:def Kapitän$NOM essere$VER:impf un'autovettura$NOM di$PRE fascia$NOM alto$ADJ produrre$VER:pper in$PRE più$ADV serie$NOM dal$PRE:det @card@$NUM al$PRE:det @card@$NUM dal$PRE:det casa$NOM automobilistico$ADJ tedesco$ADJ Opel.$NOM
IT#WIKI#Gaitana	Gaitana$NOM essere$VER:pres nascere$VER:pper a$PRE Kiev,$NOM all'epoca$ADJ nel$PRE:det repubblica$NOM socialista$NOM sovietico$NOM Ucraina,$NOM una$DET:indef del$PRE:det repubblica$NOM dell'Unione$NOM Sovietica,$NOM ma$CON si$PRO:refl essere$VER:pres successivamente$ADV spostare$VER:pper nel$PRE:det repubblica$NOM del$PRE:det Congo,$NOM dove$PRO:rela suo$PRO:poss padre,$NOM Klaver$NOM Essami,$NOM essere$VER:pres nato,$VER:infi vivere$VER:geru per$PRE cinque$ADJ anni.$NOM
IT#WIKI#Sport_Vereniging_Robin_Hood	il$DET:def sport$NOM Vereniging$NOM Robin$NPR Hood,$NOM o$CON semplicemente$ADV Robinhood,$NOM essere$VER:pres una$DET:indef squadra$NOM di$PRE calcio$NOM del$PRE:det città$NOM di$PRE Paramaribo,$NOM capitale$ADJ del$PRE:det Suriname.$NOM
IT#WIKI#Sardona	L'arena$NOM tettonico$ADJ di$PRE Sardona$NOM essere$VER:pres una$DET:indef del$PRE:det principale$ADJ zona$NOM tettonico$ADJ del$PRE:det alpe$NOM situare$VER:pper in$PRE svizzero$NOM orientale.$ABR
IT#WIKI#Leroy_Carr	il$DET:def suo$PRO:poss popolarità$NOM ed$CON il$DET:def suo$PRO:poss stile$NOM influenzare$VER:remo artista$NOM come$PRE Nat$NOM King$NPR cola$NOM e$CON Ray$NOM Charles.$ABR
IT#WIKI#Montsalès	Montsalès$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Aveyron$NOM nel$PRE:det regione$NOM del$PRE:det Midi-Pirenei.$NOM
IT#WIKI#Michael_Chopra	nel$PRE:det @card@$NUM essere$VER:pres essere|stare$VER:pper inserire$VER:pper nel$PRE:det lista$NOM del$PRE:det migliore$ADJ calciatore$NOM stilare$VER:pper da$PRE don$NOM Balón.$ABR
IT#WIKIDATA#Q1095995	comune$NOM francese$ADJ
IT#WIKI#Fernando_Colombo	Fernando$NPR Colombo,$NOM a$PRE volta$NOM chiamare$VER:pper Hernando,$NOM essere$VER:remo il$DET:def secondogenito$NOM di$PRE Cristoforo$NOM Colombo,$NOM figlio$NOM illegittimo$ADJ avere$VER:pper dall'unione$NOM con$PRE Beatriz$NOM Enriquez$NOM de$NPR Arana.$ABR
IT#WIKI#Editor_web	un$DET:indef editor$NOM web$NOM essere$VER:pres un'applicazione$NOM utile$ADJ per$PRE il$DET:def creazione$NOM di$PRE pagina$NOM web.$NOM
IT#WIKI#Distretto_di_Dibrugarh	il$DET:def distretto$NOM di$PRE Dibrugarh$NOM essere$VER:pres un$DET:indef distretto$NOM dell'Assam,$NOM in$PRE India,$NOM di$PRE @card@$NUM abitanti.$ABR
IT#WIKI#13086_Sauerbruch	@card@$NUM Sauerbruch$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Quinto_Cecilio_Metello_Cretico_Silano	figlio$NOM adottivo$ADJ di$PRE quinto$NOM Cecilio$NOM Metello$NOM essere$VER:impf in$PRE realtà$NOM figlio$NOM di$PRE marco$NOM Iunio$NOM Silano,$NOM che$PRO:rela gli$PRO:pers dare$VER:remo il$DET:def proprio$ADJ nome.$NOM
IT#WIKI#Walter_Burkert	figlio$NOM di$PRE Adolf$NOM Burkert,$NOM un$DET:indef pastore$NOM protestante$ADJ bavarese,$NOM e$CON di$PRE Luoise$NOM Grossman,$NOM Walter$NPR Burkert$NOM avere$VER:pres vivere$VER:pper in$PRE differente$ADJ cittadino$NOM tedesco$ADJ di$PRE volta$NOM in$PRE volta$NOM influenzare$VER:pper dal$PRE:det cultura$NOM cattolico$ADJ o$CON protestante,$NOM ciò$PRO:demo gli$PRO:pers avere$VER:pres consentire$VER:pper di$PRE conoscere$VER:infi il$DET:def fenomeno$NOM religioso$ADJ da$PRE prospettivo$ADJ diverse.$NOM
IT#WIKI#Acido_carminico	L'acido$VER:remo carminico$NOM essere$VER:pres un$DET:indef glucoside$NOM antrachinonico$ADJ dall'intenso$ADJ colore$NOM rosso.$NOM
IT#WIKI#Pantholops_hodgsonii	L'antilope$NOM tibetana$ADJ essere$VER:pres un$DET:indef bovide$NOM di$PRE medio$ADJ dimensioni,$NOM alto$ADJ al$PRE:det garrese$NOM circa$PRE @card@$NUM metri.$NOM
IT#WIKIDATA#Q1026606	Rajon$NOM russo$ADJ
IT#WIKI#Bohemian_Club	il$DET:def Bohemian$NOM club$NOM essere$VER:pres una$DET:indef organizzazione$NOM fondare$VER:pper nel$PRE:det @card@$NUM a$PRE San$NPR Francisco$NPR da$PRE un$DET:indef gruppo$NOM di$PRE giornalisti.$NOM
IT#WIKI#Schwentinental	Schwentinental$NOM essere$VER:pres una$DET:indef città$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Schleswig-Holstein,$NOM in$PRE Germania.$NOM
IT#WIKI#Royal_Jordanian	il$DET:def Royal$NPR Jordanian$NOM Airlines$NPR essere$VER:pres il$DET:def compagnia$NOM aereo$ADJ di$PRE bandiera$NOM del$PRE:det Giordania,$NOM con$PRE sede$NOM ad$PRE Amman,$NOM all'Aeroporto$VER:pres Internazionale$NOM Queen$NOM Alia$NPR che$PRO:rela operare$VER:impe volo$NOM di$PRE linea$NOM in$PRE @card@$NUM continenti.$ABR
IT#WIKIDATA#Q185194	genere$NOM di$PRE animale$NOM del$PRE:det famiglia$NOM Canidae$NOM
IT#WIKI#14189_Sèvre	@card@$NUM Sèvre$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Neamblysomus_julianae	il$DET:def talpa$NOM dorare$VER:pper di$PRE Juliana$NOM essere$VER:pres un$DET:indef mammifero$NOM del$PRE:det famiglia$NOM del$PRE:det Crisocloridi,$NOM a$PRE diffusione$NOM frammentare$VER:pper in$PRE Sudafrica$NPR (Pretoria,$NOM parco$NOM nazionale$NOM Kruger$NOM e$CON Limpopo),$NOM dove$PRO:rela il$DET:def si$PRO:pers trovare$VER:pres preferibilmente$ADV nel$PRE:det zona$NOM sabbioso$ADJ in$PRE prossimità$NOM di$PRE falesia$NOM roccioso$ADJ e$CON nel$PRE:det area$NOM dissodate.$ABR
IT#WIKI#Gran_Premio_di_Abu_Dhabi_2010	il$DET:def Gran$NOM premio$NOM di$PRE Abu$NOM Dhabi$NOM @card@$NUM si$PRO:pers essere$VER:pres correre$VER:pper domenica$NOM @card@$NUM novembre$NOM @card@$NUM sul$PRE:det circuito$NOM di$PRE circuito$NOM di$PRE Yas$NOM marina$NOM che$PRO:rela sorgere$VER:pres sull'Isola$VER:impe Yas,$NOM nel$PRE:det emirato$NOM arabo$NOM Uniti.$ABR
IT#WIKIDATA#Q744670	provincia$NOM ecuadoriano$ADJ
IT#WIKI#Kuta_(fiume)	il$DET:def Kuta$NOM essere$VER:pres un$DET:indef fiume$NOM del$PRE:det Russia$NPR siberiano$ADJ meridionale,$NOM tributario$ADJ di$PRE sinistra$NOM del$PRE:det Lena.$NOM
IT#WIKIDATA#Q137841	asteroide$NOM
IT#WIKIDATA#Q571109	aereo$ADJ sperimentale$ADJ DFS$NOM
IT#WIKI#Langy	Langy$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Allier$NOM del$PRE:det regione$NOM dell'Alvernia.$ABR
IT#WIKI#Kaltental	Kaltental$NOM essere$VER:pres un$DET:indef comune$NOM tedesco$ADJ di$PRE @card@$NUM abitanti,$NOM situare$VER:pper nel$PRE:det land$NOM del$PRE:det Baviera.$NOM
IT#WIKIDATA#Q20249	comune$NOM tedesco$ADJ
IT#WIKI#Exocet	L'Exocet$NOM essere$VER:pres un$DET:indef missile$NOM antinave$ADJ a$PRE medio$ADJ raggio$NOM multipiattaforma$VER:cpre sviluppare$VER:pper dall'azienda$NOM francese$ADJ Aérospatiale$NOM nel$PRE:det anno$NOM settanta,$NOM e$CON prodotto$NOM dal$PRE:det consorzio$NOM francese$ADJ MBDA.$ABR
IT#WIKI#Tanavelle	Tanavelle$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Cantal$NOM nel$PRE:det regione$NOM dell'Alvernia.$ABR
IT#WIKIDATA#Q304319	comune$NOM francese$ADJ
IT#WIKI#Esperanza_(Sultan_Kudarat)	Esperanza$VER:impe essere$VER:pres una$DET:indef municipalità$NOM di$PRE terza|terzo$NOM classe$NOM del$PRE:det Filippine,$NOM situare$VER:pper nel$PRE:det provincia$NOM di$PRE Sultan$NOM Kudarat,$NOM nel$PRE:det regione$NOM di$PRE SOCCSKSARGEN.$NOM
IT#WIKI#Dion_Boucicault	autore$NOM teatrale$ADJ molto$ADV popolare$ADJ nel$PRE:det secondo$ADJ parte$NOM dell'Ottcento,$NOM Dion$NOM Boucicault$NOM essere$VER:impf uno$ADJ del$PRE:det attori-commediografi$VER:impe più$ADV conoscere$VER:pper su$PRE entrambi$ADJ il$DET:def sponda$NOM dell'Atlantico.$ABR
IT#WIKI#Józef_Piłsudski	leader$NOM del$PRE:det forza$NOM armato$ADJ polacco$ADJ e$CON dittatore$NOM del$PRE:det seconda|secondo$NOM repubblica$NOM di$PRE Polonia,$NOM essere$VER:remo una$DET:indef del$PRE:det più$ADV importante$ADJ figura$NOM politico$ADJ polacco$ADJ del$PRE:det suo$PRO:poss era,$NOM ed$CON essere$VER:pres considerare$VER:pper il$DET:def padre$NOM del$PRE:det riconquistare$VER:pper indipendenza$NOM polacca,$NOM @card@$NUM anno$NOM dopo$PRE il$DET:def terzo$ADJ spartizione$NOM del$PRE:det Polonia.$NOM
IT#WIKI#Fotogrammetria	il$DET:def fotogrammetria$NOM essere$VER:pres una$DET:indef tecnica|tecnico$NOM di$PRE rilievo$NOM che$PRO:rela permettere$VER:pres di$PRE acquisire$VER:infi del$PRE:det dato$NOM metrico$ADJ di$PRE un$DET:indef oggetto$NOM tramite$PRE l'acquisizione$VER:infi e$CON l'analisi$VER:impe di$PRE una$DET:indef coppia$NOM di$PRE fotogramma$NOM stereometrici.$NOM
IT#WIKIDATA#Q752883	Album$NOM di$PRE Marilyn$NOM Manson$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q1088661	comune$NOM francese$ADJ
IT#WIKI#Double_Vision_(album_Foreigner)	Double$ADJ Vision$NOM essere$VER:pres il$DET:def secondo$ADJ album$NOM del$PRE:det rock$NOM band$NOM Foreigner$NOM realizzare$VER:pper nel$PRE:det @ord@$ORD
IT#WIKIDATA#Q465881	musicista$NOM e$CON attore$NOM inglese$ADJ
IT#WIKI#Pezoporikos_Omilos_Larnacas	il$DET:def Pezoporikos$NOM club$NOM Larnaca,$NOM in$PRE greco$ADJ Πεζοπορικός$NOM Όμιλος$NOM Λάρνακας,$NOM acronimo$NOM ΠΟΛ,$NOM essere$VER:impf una$DET:indef società$NOM polisportivo$ADJ cipriota$ADJ con$PRE sede$NOM a$PRE Larnaca.$NOM
IT#WIKIDATA#Q601628	calciatore$NOM svedese$ADJ
IT#WIKI#Tomorrowland_(festival)	Tomorrowland$NOM essere$VER:pres un$DET:indef festival$NOM di$PRE musica$NOM elettronico$ADJ che$PRO:rela si$PRO:refl svolgere$VER:pres in$PRE Belgio$NPR dal$PRE:det @ord@$ORD
IT#WIKIDATA#Q557408	comune$NOM polacco$ADJ
IT#WIKIDATA#Q714580	pilota$NOM automobilistico$ADJ giapponese$ADJ
IT#WIKIDATA#Q601518	comune$NOM francese$ADJ
IT#WIKIDATA#Q41820	comune$NOM francese$ADJ
IT#WIKI#Izad_Khvast	Īzad$NOM Khvāst$NOM o$CON Izadkhast$NOM essere$VER:pres una$DET:indef città$NOM del$PRE:det provincia$NOM di$PRE Abadeh,$NOM circoscrizione$NOM Centrale,$NOM nel$PRE:det regione$NOM di$PRE Fars.$NOM
IT#WIKIDATA#Q375725	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Luciano$NPR Salce$NOM
IT#WIKI#Mecha	il$DET:def mecha$NOM o$CON mech$NOM essere|sonare$VER:pres robot$NOM presente$ADJ in$PRE numeroso$ADJ opera$NOM di$PRE fantasia,$NOM dal$PRE:det letteratura$NOM al$PRE:det manga$NOM e$CON al$PRE:det anime,$NOM che$PRO:rela si$PRO:refl caratterizzare$VER:pres per$PRE il$DET:def dimensione$NOM straordinarie,$NOM sempre$ADV superiore$ADJ a$PRE quello$PRO:demo umano$ADJ e$CON solitamente$ADV più$ADV che$PRO:rela mastodontiche,$NOM e$CON per$PRE il$DET:def fatto$NOM di$PRE essere$VER:infi comandare$VER:pper da$PRE almeno$ADV un$DET:indef pilota$NOM presente$ADJ all'interno$ADJ del$PRE:det struttura$NOM metallico$ADJ di$PRE tale$PRO:demo veicoli.$NOM
IT#OMWIKI#996248	il$DET:def processo$NOM di$PRE produrre$VER:infi materiale$NOM lavorare$VER:pper a$PRE maglia.$NOM
IT#WIKIDATA#Q909527	autovettura$NOM del$PRE:det @card@$NUM produrre$VER:pper dal$PRE:det Mercedes-Benz$NOM
IT#WIKI#Pupo_(cantante)	pupo$NOM nascere$VER:pres a$PRE Ponticino,$NOM frazione$NOM del$PRE:det comune$NOM di$PRE Laterina,$NOM di$PRE Pergine$NOM Valdarno$NOM e$CON di$PRE Civitella$NOM in$PRE val$NOM di$PRE Chiana,$NOM in$PRE provincia$NOM di$PRE Arezzo.$NOM
IT#WIKIDATA#Q1141773	comune$NOM francese$ADJ
IT#WIKI#Lingua_arumena	L'Arumeno,$VER:remo dire$VER:pper anche$ADV Aromeno,$NOM Aromuno$NOM o$CON Macedorumeno$NOM essere$VER:pres una$DET:indef lingua$NOM parlare$VER:pper da$PRE circa$ADV @card@$NUM persona$NOM nel$PRE:det Balcani$NPR meridionali,$NOM essere$VER:pres una$DET:indef lingua$NOM neolatina,$NOM una$DET:indef del$PRE:det quattro$ADJ lingua$NOM appartenere$VER:ppre al$PRE:det gruppo$NOM rumeno,$ADJ si$PRO:refl parlare$VER:pres in$PRE zona$NOM del$PRE:det nord$NOM del$PRE:det Grecia,$NOM nel$PRE:det sud-est$NOM dell'Albania,$NOM del$PRE:det Macedonia,$NOM del$PRE:det Bulgaria$NPR e$CON del$PRE:det Serbia.$NOM
IT#WIKIDATA#Q1010236	comune$NOM statunitense$ADJ del$PRE:det Pennsylvania$NOM
IT#WIKI#Miss_Namibia	miss$NOM Namibia$NPR essere$VER:pres un$DET:indef concorso$NOM di$PRE bellezza$NOM femminile$ADJ che$PRO:rela si$PRO:refl tenere$VER:pres annualmente$ADV dal$PRE:det @ord@$ORD
IT#WIKI#Gygis_alba	il$DET:def sterna$NOM bianco$ADJ o$CON sterna$ADJ bianco$ADJ comune,$NOM essere$VER:pres un$DET:indef uccello$NOM del$PRE:det famiglia$NOM del$PRE:det Laridae.$NOM
IT#WIKI#Rama_Navami	Ram$NPR Navami$NOM essere$VER:pres una$DET:indef festa$NOM Hindu,$NOM che$PRO:rela celebrare$VER:pres il$DET:def nascita$NOM di$PRE Rama,$NOM figlio$NOM del$PRE:det re$NOM Dasharatha$NOM di$PRE Ayodhya,$NOM e$CON figura$NOM divino$ADJ dell'Induismo.$NOM
IT#WIKIDATA#Q644125	asteroide$NOM
IT#WIKI#3734_Waland	@card@$NUM Waland$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKIDATA#Q948595	pugile$NOM statunitense$ADJ
IT#WIKIDATA#Q139944	asteroide$NOM
IT#WIKI#Horst_Matthai_Quelle	aderire$VER:remo a$PRE numeroso$ADJ movimenti:$NOM nichilismo,$NOM esistenzialismo,$NOM anarchismo$NOM e$CON soprattutto$ADV anarchismo$NOM individualista.$ABR
IT#WIKIDATA#Q288327	tennista$NOM francese$ADJ
IT#WIKI#Soulseek	Soulseek$NOM essere$VER:pres un$DET:indef programma$NOM di$PRE fila$NOM sharing$NOM basare$VER:pper sul$PRE:det tecnologia$NOM peer-to-peer.$NOM
IT#WIKI#Jean-René_Bernaudeau	settimo$NOM nel$PRE:det prova$NOM su$PRE strada$NOM del$PRE:det gioco$NOM olimpico$ADJ @card@$NUM di$PRE Montreal,$NOM passo$ADJ professionista$NOM nel$PRE:det @card@$NUM con$PRE il$DET:def Renault-Gitane$NOM diretto$ADJ da$PRE Cyrille$NOM Guimard$NOM e$CON capitanare$VER:pper da$PRE Bernard$NPR Hinault.$ABR
IT#WIKI#Fredeburg	Fredeburg$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Schleswig-Holstein,$NOM in$PRE Germania.$NOM
IT#WIKIDATA#Q548345	scrittore$NOM statunitense$ADJ
IT#WIKI#Liestal	Liestal$NOM essere$VER:pres una$DET:indef città$NOM del$PRE:det Svizzera,$NOM capitale$ADJ del$PRE:det Canton$NOM Basilea$NPR Campagna.$ABR
IT#WIKI#Magnetar	una$DET:indef magnetar$VER:infi essere$VER:pres una$DET:indef stella$NOM di$PRE neutrone$NOM che$PRO:rela possedere$VER:pres un$DET:indef enorme$ADJ campo$NOM magnetico,$NOM milione$NOM di$PRE miliardo$NOM di$PRE volta$NOM quello$PRO:demo terrestre,$NOM il$DET:def cui$PRO:rela decadimento$NOM generare$VER:pres del$PRE:det intenso$ADJ ed$CON abbondante$ADJ emissione$NOM elettromagnetiche,$NOM in$PRE particolare$ADJ raggio$NOM X$NUM e$CON raggio$NOM gamma.$NOM
IT#WIKIDATA#Q2538451	comune$ADJ ceco$NOM
IT#WIKI#Estes_Park	Estes$VER:remo Park$NOM essere$VER:pres un$DET:indef centro$NOM abitare$VER:pper del$PRE:det stato$NOM Uniti$NOM d'America,$NOM situare$VER:pper nel$PRE:det contea$NOM di$PRE Larimer$NOM del$PRE:det stato$NOM del$PRE:det Colorado.$NOM
IT#WIKI#Suvereto	Suvereto$NOM essere$VER:pres un$DET:indef comune$NOM italiano$ADJ di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE Livorno.$NOM
IT#WIKI#Mondariz-Balneario	Mondariz-Balneario$ADJ essere$VER:pres un$DET:indef comune$NOM spagnolo$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ del$PRE:det Galizia.$NOM
IT#WIKI#Lorenzo_Cesa	laureare$VER:pper in$PRE scienza$NOM politico$ADJ al$PRE:det università$NOM Luiss$NOM di$PRE Roma,$NOM svolgere$VER:remo il$DET:def ruolo$NOM di$PRE direttore$NOM del$PRE:det relazione$NOM esterno$ADJ al$PRE:det Efimpianti$NOM Spa,$NOM di$PRE consigliere$NOM di$PRE amministrazione$NOM di$PRE importante$ADJ società$NOM e$CON banche,$NOM fra$PRE cui$PRO:rela l'ANAS$VER:remo e$CON di$PRE direttore$NOM commerciale$ADJ marketing$NOM di$PRE una$DET:indef società$NOM di$PRE comunicazione.$NOM
IT#WIKIDATA#Q315507	economista$NOM e$CON generale$NOM argentino$ADJ
IT#WIKI#8123_Canaletto	@card@$NUM Canaletto$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Surfing_with_the_Alien	surfing$NOM with$NOM the$NOM Alien$NOM essere$VER:pres il$DET:def secondo$ADJ album$NOM di$PRE Joe$ADJ Satriani,$NOM pubblicare$VER:pper nel$PRE:det @ord@$ORD
IT#WIKI#Jumpin'_Jumpin'	Jumpin'$NOM Jumpin'$NOM essere$VER:pres un$DET:indef singolo$ADJ dance/R&B$NOM del$PRE:det Destiny's$NOM Child$NOM scrivere$VER:pper e$CON produrre$VER:pper da$PRE Beyoncé$NOM Knowles,$NOM Chad$NOM Elliott$NPR e$CON Jovonn$NOM Alexander$NPR per$PRE il$DET:def secondo$ADJ album$NOM del$PRE:det band,$NOM the$NOM Writing's$NOM on$VER:geru the$NOM Wall.$ABR
IT#WIKIDATA#Q44481	Matematico,$NOM fisico$ADJ e$CON astronomo$NOM francese$ADJ
IT#WIKI#Stéphane_Zubar	difensore$ADJ centrale,$NOM potere$VER:pres giocare$VER:infi anche$ADV come$PRE terzino$NOM destro.$ABR
IT#WIKIDATA#Q203401	pittore$NOM statunitense$ADJ
IT#WIKIDATA#Q1935440	comune$ADJ ceco$NOM nel$PRE:det distretto$NOM di$PRE Prachatice$NOM
IT#WIKI#Bruno_di_Würzburg	bruno$NOM essere$VER:impf figlio$NOM del$PRE:det duca$NOM Corrado$NPR il$DET:def di$PRE Carinzia$NPR e$CON di$PRE Matilde$NOM di$PRE Svevia$NOM e$CON quindi$ADV cugino$NOM per$PRE parte$NOM di$PRE padre$NOM dell'imperatore$NOM Corrado$NPR II.$ABR
IT#WIKI#Yakuza_3	Yakuza$NOM @card@$NUM originariamente$ADV pubblicare$VER:pper in$PRE Giappone$NPR come,$NOM essere$VER:pres il$DET:def sequel$NOM del$PRE:det videogioco$NOM Yakuza$ABR @card@$NUM del$PRE:det sega$NOM ed$CON essere$VER:pres il$DET:def quarto$ADJ capitolo$NOM del$PRE:det serie$NOM iniziare$VER:pper con$PRE Yakuza.$NOM
IT#WIKIDATA#Q283878	videogioco$NOM del$PRE:det @card@$NUM
IT#WIKI#Art_Nouveau	L'Art$VER:remo Nouveau$NPR essere$VER:pres essere|stare$VER:pper una$DET:indef filosofia$NOM e$CON uno$DET:indef stile$NOM artistico$ADJ che$PRO:rela interessare$VER:remo il$DET:def arte|arto$NOM figurative,$NOM l'architettura$VER:remo e$CON il$DET:def arte|arto$NOM applicate.$ABR
IT#WIKIDATA#Q61888	storico$ADJ del$PRE:det religione$NOM e$CON filologo$NOM tedesco$ADJ
IT#WIKI#Harmonville	Harmonville$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Vosgi$NOM nel$PRE:det regione$NOM del$PRE:det Lorena.$NOM
IT#WIKI#Alhaurín_el_Grande	Alhaurín$NOM el$NOM grande$NOM essere$VER:pres un$DET:indef comune$NOM spagnolo$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ dell'Andalusia.$NOM
IT#WIKI#Joseph_Kittinger	essere$VER:pres famoso$ADJ per$PRE essere$VER:infi essere|stare$VER:pper il$DET:def primo$ADJ uomo$NOM ad$PRE avere$VER:infi attraversare$VER:pper in$PRE solitario$NOM l'Oceano$VER:remo Atlantico$NOM su$PRE un$DET:indef pallone$NOM aerostatico$ADJ e$CON per$PRE essere$VER:infi lanciare$VER:pper dal$PRE:det spazio.$NOM
IT#WIKIDATA#Q653637	asteroide$NOM
IT#WIKI#Invasione_russa_della_Prussia_Orientale_(1914)	L'invasione$NOM russo$ADJ del$PRE:det Prussia$NOM Orientale$NOM essere$VER:pres essere|stare$VER:pper un$DET:indef evento$NOM bellico$ADJ del$PRE:det primo$ADJ guerra$NOM mondiale$ADJ che$PRO:rela si$PRO:pers svolgere$VER:remo sul$PRE:det fronte$NOM orientale$ADJ tra$PRE l'agosto$VER:infi ed$CON il$DET:def settembre$NOM @ord@$ORD
IT#WIKIDATA#Q765975	dipartimento$NOM guatemalteco$ADJ
IT#WIKI#Saint-Salvadour	Saint-Salvadour$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Corrèze$NOM nel$PRE:det regione$NOM del$PRE:det Limosino.$NOM
IT#WIKI#Cognizione	il$DET:def termine$NOM cognizione$NOM essere$VER:pres utilizzare$VER:pper in$PRE diverso$ADJ accezione$NOM da$PRE differente$ADJ discipline,$NOM ma$CON essere$VER:pres generalmente$ADV accettare$VER:pper con$PRE riferimento$NOM al$PRE:det pensiero$NOM ed$CON al$PRE:det modo$NOM in$PRE cui$PRO:rela si$PRO:refl raggiungere$VER:pres il$DET:def consapevolezza.$NOM
IT#WIKI#Principe_elettore	principe$ADJ elettore$NOM essere$VER:pres una$DET:indef carica$NOM del$PRE:det sacro$NOM romano$NOM Impero,$NOM definire$VER:pper dal$PRE:det bolla$NOM d'Oro$VER:pres e$CON assegnare$VER:pper ad$PRE un$DET:indef numero$NOM limitare$VER:pper di$PRE principe|principio$NOM che$PRO:rela costituire$VER:impf il$DET:def collegio$NOM elettorale$ADJ al$PRE:det quale,$NOM a$PRE partire$VER:infi dal$PRE:det XIII$NUM secolo,$NOM spettare$VER:impf l'elezione$VER:infi dell'Imperatore.$NOM
IT#WIKIDATA#Q294454	attore$NOM australiano$ADJ
IT#WIKIDATA#Q2627840	asteroide$NOM
IT#WIKI#Cristiano_I_di_Danimarca	in$PRE Svezia$NPR il$DET:def suo$PRO:poss breve$ADJ regno$NOM essere$VER:remo precedere$VER:pper dal$PRE:det reggenti,$NOM Jöns$NPR Bengtsson$NOM Oxenstierna$NOM e$CON Erik$NOM Axelsson$NOM Tott$NOM e$CON succedere$VER:pper dal$PRE:det reggente$ADJ Kettil$NOM Karlsson$NOM Vasa.$ABR
IT#WIKI#Jurij_Michajlovič_Lužkov	essere$VER:pres essere|stare$VER:pper il$DET:def secondo$ADJ sindaco$NOM di$PRE mosca$NOM e$CON copresidente$NOM del$PRE:det consiglio$NOM supremo$ADJ del$PRE:det partito$NOM «Russia$NOM unita».$NOM
