FR#WIKIDATA#Q544	système$NOM planétaire$ADJ du$PRP:det Soleil$NAM
FR#WIKI#My_Bloody_Valentine	My$NAM Bloody$NAM Valentine$NAM être$VER:pres un$DET:ART groupe$NOM de$PRP shoegaze$NOM irlandais$ADJ composer$VER:pper du$PRP:det guitariste/chanteur/compositeur$NOM Kevin$NAM Shields,$ABR du$PRP:det batteur$NOM Colm$NAM Ó$ABR Cíosóig,$ABR de$PRP le$DET:ART bassiste$NOM Debbie$NAM Googe$NAM et$KON de$PRP le$DET:ART chanteuse/guitariste$NOM Bilinda$NAM Butcher.$ABR
FR#WIKIDATA#Q613120	commune$NOM français$ADJ
FR#WIKI#Raj_Kapoor	Raj$ABR Kapoor,$ABR de$PRP son$DET:POS vrai$ADJ nom$NOM Ranbir$NAM Raj$NAM Kapoor,$NAM -$PUN à$PRP New$NAM Delhi,$ABR Inde)$NAM être$VER:pres l'un$ADJ du$PRP:det acteurs,$NOM producteurs,$ADJ réalisateur$NOM et$KON scénariste$NOM indien$ADJ le$DET:ART plus$ADV populaires.$ADJ
FR#WIKI#Mate_Boban	mat$ADJ Boban,$NOM naître$VER:pper le$DET:ART à$PRP Sovići,$NAM Royaume$NAM de$PRP Yougoslavie$NAM et$KON mourir$VER:pper le$DET:ART à$PRP Mostar,$NAM être$VER:impf un$DET:ART politicien$ADJ croate$NOM d'Herzégovine$ADJ et$KON l'un$ADJ du$PRP:det principal$ADJ leader$NOM du$PRP:det Croates$NAM de$PRP Bosnie-Herzégovine$NAM durant$PRP le$DET:ART guerre$NOM de$PRP Bosnie.$NAM
FR#WIKIDATA#Q1087552	commune$NOM français$ADJ du$PRP:det département$NOM du$PRP:det calvados$NOM
FR#WIKI#Canzoniere	le$DET:ART ou$KON Rerum$NAM vulgarium$NOM fragmenter$VER:simp être$VER:pres un$DET:ART recueil$NOM de$PRP @card@$NUM poème$NOM composer$VER:pper en$PRP italien$ADJ par$PRP l'écrivain$ADJ Francesco$NAM Petrarca$NAM et$KON consacrer$VER:pper à$PRP son$DET:POS amour$NOM intemporel$ADJ :$PUN Laure,$NAM que$KON Pétrarque$NAM avoir$VER:cond apercevoir$VER:pper le$DET:ART @card@$NUM avril$NOM @card@$NUM dans$PRP l'église$NOM Sainte-Claire$NAM à$PRP Avignon.$NAM
FR#WIKI#Shimon_Peres	Shimon$NAM Peres,$NAM naître$VER:pper le$DET:ART à$PRP Wiśniew,$NAM être$VER:pres un$DET:ART homme$NOM politique$ADJ israélien.$ADJ
FR#WIKI#Surville_(Calvados)	Surville$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det calvados$NOM et$KON le$DET:ART région$NOM Basse-Normandie,$ADJ peupler$VER:pper de$PRP @card@$NUM habitants.$ABR
FR#WIKI#Belligné	Belligné$NAM être$VER:pres un$DET:ART commune$NOM français$ADJ de$PRP le$DET:ART région$NOM Pays$NAM de$PRP le$DET:ART Loire$NAM situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP Loire-Atlantique,$NAM à$PRP l'est$NAM d'Ancenis.$ABR
FR#WIKI#Montfermeil	Montfermeil$NAM être$VER:pres un$DET:ART commune$NOM français$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Seine-Saint-Denis$NAM et$KON le$DET:ART région$NOM Île-de-France.$ADJ
FR#WIKI#1256	ce$PRO:DEM page$NOM concerner$VER:pres l'année$VER:pper @card@$NUM du$PRP:det calendrier$NOM julien.$ADJ
FR#WIKIDATA#Q1754871	commune$NOM brésilien$ADJ
FR#WIKI#Centre_démocratique_andorran	le$DET:ART Centre$NAM démocratique$ADJ andorran$NOM être$VER:impf un$DET:ART parti$NOM politique$ADJ andorran$NOM affilier$VER:pper à$PRP l'Internationale$ADJ démocrate$NOM centriste.$ADJ
FR#WIKI#Fiat_Regata	le$DET:ART Fiat$NAM Regata,$NAM être$VER:pres un$DET:ART voiture$NOM fabriquer$VER:pper par$PRP le$DET:ART constructeur$NOM italien$ADJ Fiat$NAM entre$PRP @card@$NUM et$KON @ord@$NUM
FR#WIKIDATA#Q2475890	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q1192546	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Barrière_de_Larsen	le$DET:ART barrière$NOM de$PRP Larsen$NAM être$VER:pres un$DET:ART barrière$NOM de$PRP glace$NOM frangeante$ADJ au$PRP:det nord-ouest$NOM de$PRP le$DET:ART mer$NOM de$PRP Weddell,$NAM s'étendant$VER:ppre le$DET:ART long$NOM de$PRP le$DET:ART côte$NOM oriental$ADJ de$PRP le$DET:ART péninsule$NOM Antarctique$NAM du$PRP:det cap$NOM Longing$NAM jusqu'à$NOM un$DET:ART zone$NOM au$PRP:det sud$NOM de$PRP l'île$NOM Hearst.$ABR
FR#WIKI#Villa_Caldogno	le$DET:ART Villa$NAM Caldogno$NAM être$VER:pres un$DET:ART villa$NOM veneta$VER:simp attribuer$VER:pper à$PRP Andrea$NAM Palladio$NAM sis$ADJ dans$PRP le$DET:ART commune$NOM de$PRP Caldogno,$ABR à$PRP proximité$NOM de$PRP son$DET:POS centre,$NOM dans$PRP le$DET:ART province$NOM de$PRP Vicence$NAM et$KON le$DET:ART région$NOM Vénétie,$NAM en$PRP Italie.$NAM
FR#WIKIDATA#Q139944	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM d'astéroïdes$ADJ principal$ADJ
FR#WIKIDATA#Q373928	commune$NOM français$ADJ
FR#WIKI#Langues_malayo-polynésiennes_centrales	le$DET:ART langue$NOM malayo-polynésien$ADJ central$ADJ être$VER:pres du$PRP:det langue$NOM austronésiennes$ADJ et$KON constituer$VER:pres un$DET:ART du$PRP:det sous-groupe$NOM présumer$VER:pper du$PRP:det langue$NOM malayo-polynésiennes.$ADJ
FR#WIKI#Ortalide_du_Chaco	L'Ortalide$NOM du$PRP:det Chaco$NAM mesure$NOM environ$PRP @card@$NUM cm$NOM et$KON pèse$NOM entre$PRP @card@$NUM et$KON @card@$NUM g.$ABR
FR#WIKIDATA#Q999446	commune$NOM portugais$ADJ
FR#WIKI#Prince-électeur	le$DET:ART princes-électeurs$NOM être$VER:impf du$PRP:det princes,$NOM grand$ADJ féodal$ADJ ou$KON souverains,$NOM investir$VER:pper d'une$VER:pres fonction$NOM électif$ADJ à$PRP du$PRP:det trône$NOM impériaux.$ADJ
FR#WIKI#To_the_Edge_of_the_Earth	to$NOM the$NOM Edge$NAM of$VER:futu the$VER:pper Earth$NAM être$VER:pres un$DET:ART EP$NOM du$PRP:det groupe$NOM @card@$NUM Seconds$ADJ to$NOM Mars.$NAM
FR#WIKIDATA#Q1750030	commune$NOM brésilien$ADJ
FR#WIKI#Roi_de_rats	un$DET:ART roi$NOM de$PRP rat$NOM être$VER:pres un$DET:ART regroupement$NOM de$PRP rat$NOM dont$PRO:REL le$DET:ART queue$NOM être$VER:pres entrelacer$VER:pper le$DET:ART un$NOM au$PRP:det autres,$NOM souvent$ADV prendre$VER:pper dans$PRP un$DET:ART gangue$NOM composer$VER:pper de$PRP paille,$ADJ d'excréments$NOM et$KON de$PRP poils.$NOM
FR#WIKI#Bréhéville	Bréhéville$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Meuse$NAM et$KON le$DET:ART région$NOM Lorraine.$NAM
FR#WIKIDATA#Q416860	composé$NOM chimique$ADJ
FR#WIKIDATA#Q690393	commune$NOM français$ADJ
FR#WIKIDATA#Q927206	commune$NOM brésilien$ADJ
FR#WIKI#Potelle	potelle$NOM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Nord$NOM et$KON le$DET:ART région$NOM Nord-Pas-de-Calais.$ABR
FR#WIKI#Anneau_d'or_de_Russie	L'anneau$NAM d'or$NOM être$VER:pres un$DET:ART espace$NOM situer$VER:pper au$PRP:det nord-est$NOM de$PRP Moscou$NAM entre$PRP le$DET:ART Volga$NOM et$KON le$DET:ART Kliazma$NAM et$KON délimiter$VER:pper par$PRP d'anciennes$ADJ cité$NOM princier$ADJ :$PUN L'anneau$NOM d'or$ADJ être$VER:pres un$DET:ART poche$NOM de$PRP terre$NOM noir$ADJ particulièrement$ADV fertile$ADJ appeler$VER:pper opolié$NOM ce$PRO:DEM qui$PRO:REL vouloir$VER:pres dire$VER:infi champs.$VER:pper
FR#WIKI#Argens_(cours_d'eau)	L’Argens$NAM être$VER:pres un$DET:ART fleuve$NOM côtier$ADJ français,$ADJ dont$PRO:REL le$DET:ART cour|cours$NOM être$VER:pres entièrement$ADV situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Var$NAM et$KON qui$PRO:REL se$PRO:PER jeter$VER:pres dans$PRP le$DET:ART mer$NOM Méditerranée.$NAM
FR#WIKI#Le_Mesnil-Véneron	le$DET:ART Mesnil-Véneron$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Manche$NAM et$KON le$DET:ART région$NOM Basse-Normandie,$ADJ peupler$VER:pper de$PRP @card@$NUM habitants.$ABR
FR#WIKI#Mer_des_Hébrides	le$DET:ART mer$NOM du$PRP:det Hébrides$NAM être$VER:pres un$DET:ART mer$NOM épicontinental$ADJ de$PRP l'océan$NOM Atlantique$NAM situer$VER:pper au$PRP:det Royaume-Uni,$NOM sur$PRP le$DET:ART côte$NOM Ouest$ADJ de$PRP l'Écosse,$NOM entre$PRP le$DET:ART Sud$NOM de$PRP l'archipel$NOM du$PRP:det Hébrides$NOM extérieur$ADJ et$KON le$DET:ART Nord$NOM de$PRP l'archipel$NOM du$PRP:det Hébrides$NAM intérieures.$ABR
FR#WIKIDATA#Q1733207	Nsemble$NOM du$PRP:det règle|règles$NOM juridique$ADJ qui$PRO:REL régir$VER:pres le$DET:ART situation$NOM de$PRP droit$NOM privé$ADJ comporter$VER:ppre un$DET:ART élément$NOM d'extranéité$NOM
FR#WIKIDATA#Q756194	espèce$NOM de$PRP mammifère$NOM
FR#WIKIDATA#Q2027662	tableau$NOM de$PRP Ingres$NAM
FR#WIKI#Xian_de_Tonghe	le$DET:ART xian$NOM de$PRP Tonghe$NAM être$VER:pres un$DET:ART district$NOM administratif$ADJ de$PRP le$DET:ART province$NOM du$PRP:det Heilongjiang$NOM en$PRP Chine.$NAM
FR#WIKI#Charlot_artiste_peintre	charlot$NOM artiste$ADJ peintre$NOM être$VER:pres un$DET:ART comédie$NOM burlesque$ADJ américain$ADJ de$PRP et$KON avec$PRP Charlie$NAM Chaplin,$ABR sortie$NOM le.$ADJ
FR#WIKIDATA#Q602257	coureur$NOM cycliste$ADJ belge$ADJ
FR#WIKI#18_décembre	le$DET:ART @card@$NUM décembre$NOM être$VER:pres le$DET:ART @card@$NUM jour$NOM de$PRP l'année$NOM du$PRP:det calendrier$NOM grégorien.$ADJ
FR#WIKIDATA#Q552084	commune$NOM allemand$ADJ
FR#WIKI#Calgacos	Calgacos$NAM être$VER:pres un$DET:ART personnalité$NOM du$PRP:det Celtes$NAM de$PRP Calédonie,$NAM qui$PRO:REL prendre$VER:pres le$DET:ART tête$NOM en$PRP @card@$NUM ap.$ABR
FR#WIKI#Basilique_Santi_Giovanni_e_Paolo	le$DET:ART basilique$NOM Santi$NAM Giovanni$NAM e$VER:futu Paolo$NAM être$VER:pres un$DET:ART église-basilique$NOM romain$ADJ situer$VER:pper au$PRP:det clivo$NOM di$VER:futu Scauro$NAM sur$PRP le$DET:ART colline$NOM de$PRP Celio$NAM et$KON proche$ADJ de$PRP le$DET:ART villa$NOM Celimontana.$ABR
FR#WIKI#Service_civil	le$DET:ART service$NOM civil$ADJ être$VER:pres le$DET:ART forme$NOM le$DET:ART plus$ADV courant$ADJ d'alternative$ADJ au$PRP:det service$NOM militaire$ADJ obligatoire,$NOM proposer$VER:pper par$PRP certain$PRO:IND du$PRP:det pays$NOM connaître$VER:ppre le$DET:ART conscription.$ABR
FR#WIKIDATA#Q46541	commune$NOM français$ADJ
FR#WIKIDATA#Q263832	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM d'astéroïdes$ADJ principal$ADJ
FR#WIKI#Australie_aux_Jeux_olympiques_d'été_de_2012	L'Australie$NAM participer$VER:pres au$PRP:det jeu$NOM olympique$ADJ d'été$VER:pper de$PRP @card@$NUM à$PRP Londres$NAM au$PRP:det Royaume-Uni$NAM du$PRP:det @card@$NUM juillet$NOM au$PRP:det @card@$NUM août$NOM @ord@$ADJ
FR#WIKI#Klaus-Dieter_Sieloff	Klaus-Dieter$NAM Sieloff$NAM être$VER:pres un$DET:ART footballeur$NOM allemand$ADJ naître$VER:pper le$DET:ART @card@$NUM février$NOM @card@$NUM en$PRP Prusse-Orientale$NOM et$KON mort$NOM le$DET:ART @card@$NUM décembre$NOM @card@$NUM à$PRP Stuttgart.$NAM
FR#WIKIDATA#Q220307	commune$NOM français$ADJ
FR#WIKI#Neukirchen_bei_Sulzbach-Rosenberg	Neukirchen$NOM bei$NOM Sulzbach-Rosenberg$NAM être$VER:pres un$DET:ART commune$NOM de$PRP Bavière,$NOM situer$VER:pper dans$PRP l'arrondissement$NOM d'Amberg-Sulzbach,$ADJ dans$PRP le$DET:ART district$NOM du$PRP:det Haut-Palatinat,$ABR à$PRP l'ouest$NOM de$PRP Sulzbach-Rosenberg$NAM et$KON à$PRP au$PRP:det nord-ouest$NOM d'Amberg.$ADJ
FR#WIKI#Halászlé	le$DET:ART halászlé$ADJ ou$KON halpaprikás$ADJ être$VER:pres un$DET:ART soupe$NOM hongrois$ADJ faire$VER:pper à$PRP partir$VER:infi de$PRP différent$ADJ poisson$NOM et$KON relever$VER:pper au$PRP:det paprika.$NOM
FR#WIKIDATA#Q1006668	ville$NOM américain$ADJ de$PRP l'état$NOM de$PRP New$NAM York$NAM
FR#WIKI#Legrandite	le$DET:ART legrandite$NOM être$VER:pres un$DET:ART espèce$NOM minéral$ADJ composer$VER:pper d’arséniate$NOM de$PRP zinc$NOM de$PRP formule$NOM idéal$ADJ Zn$NAM @card@$NUM H2$ABR O.$ABR
FR#WIKI#Crimée_(métro_de_Paris)	Crimée$NAM être$VER:pres un$DET:ART station$NOM du$PRP:det métro$NOM de$PRP Paris$NAM sur$PRP le$DET:ART ligne$NOM @card@$NUM dans$PRP le$DET:ART @card@$NUM arrondissement$NOM de$PRP Paris.$NAM
FR#WIKI#Boyelles	Boyelles$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Pas-de-Calais$NAM et$KON le$DET:ART région$NOM Nord-Pas-de-Calais.$ABR
FR#WIKI#Violaxanthine	le$DET:ART violaxanthine$NOM être$VER:pres un$DET:ART caroténoïde,$NOM plus$ADV précisément$ADV un$DET:ART xanthophylle.$NOM
FR#WIKI#Publius_Pomponius_Secundus	Publius$NAM Pomponius$NAM Secundus,$ABR général$NOM romain$ADJ et$KON poète$ADJ tragique,$NOM vivre$VER:ppre pendant$PRP le$DET:ART règne$NOM de$PRP Tibère,$NAM Caligula$NAM et$KON Claude,$ABR donc$ADV naître$VER:pper avant$PRP @card@$NUM et$KON mort$NOM après$PRP @ord@$NAM
FR#WIKIDATA#Q2622486	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q3245245	catégorie$NOM de$PRP conservation$NOM IUCN$NAM
FR#WIKI#Coupe_de_Belgique_de_football	le$DET:ART Coupe$NAM de$PRP Belgique$NAM est,$NOM avec$PRP le$DET:ART championnat,$ADJ l'une$NOM du$PRP:det deux$NUM principal$ADJ compétition$NOM de$PRP football$NOM en$PRP Belgique.$NAM
FR#WIKI#Lavausseau	Lavausseau$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Vienne$NAM et$KON le$DET:ART région$NOM Poitou-Charentes.$NAM
FR#WIKIDATA#Q2627639	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Ligue_de_diamant_2011	le$DET:ART @card@$NUM édition$NOM de$PRP le$DET:ART Ligue$NAM de$PRP diamant$NOM se$PRO:PER dérouler$VER:pres du$PRP:det @card@$NUM mai$NOM au.$ADJ
FR#WIKIDATA#Q1341533	ville$NOM chinois$ADJ
FR#WIKI#Luttenberger*Klug	Luttenberger*Klug$NAM être$VER:pres un$DET:ART duo$NOM de$PRP pop$ADJ allemand.$NOM
FR#WIKI#Schaafheim	Schaafheim$NAM être$VER:pres un$DET:ART municipalité$NOM allemand$ADJ situer$VER:pper dans$PRP le$DET:ART land$NOM de$PRP le$DET:ART Hesse$NAM et$KON l'arrondissement$NOM de$PRP Darmstadt-Dieburg.$ABR
FR#WIKI#Ban_Zhao	ban$NOM Zhao$NAM être$VER:impf un$DET:ART mémorialiste,$ADJ poétesse$NOM et$KON intellectuel$NOM chinois$ADJ connaître$VER:pper pour$PRP son$DET:POS prénom$NOM social$ADJ Huiban$NAM ou$KON Vénérable$NAM Madame$NAM Cao.$ABR
FR#WIKI#Tabor_(Slovénie)	tabor$NOM être$VER:pres un$DET:ART commune$NOM du$PRP:det nord-est$NOM de$PRP le$DET:ART Slovénie$NAM situer$VER:pper dans$PRP le$DET:ART région$NOM de$PRP le$DET:ART Basse-Styrie.$NAM
FR#WIKI#Moncale	Moncale$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Haute-Corse$NOM et$KON le$DET:ART région$NOM Corse.$ABR
FR#WIKI#Lagorchestes_conspicillatus	le$DET:ART wallaby-lièvre$NOM à$PRP lunette|lunettes$NOM être$VER:pres un$DET:ART macropodidae$ADJ vivant$NOM en$PRP Australie.$NAM
FR#WIKI#Geirröd	Geirröd$NAM être$VER:pres un$DET:ART géant$NOM dans$PRP le$DET:ART mythologie$NOM nordique.$ADJ
FR#WIKIDATA#Q714823	gare$NOM ferroviaire$ADJ iranien$ADJ
FR#WIKI#Coupe_d'Espagne_de_football	le$DET:ART Coupe$NAM d'Espagne$VER:pres de$PRP football$NOM être$VER:pres un$DET:ART compétition$NOM à$PRP élimination$NOM direct$ADJ espagnole.$ADJ
FR#WIKI#Calcéolaire	le$DET:ART calcéolaires,$NOM soit$KON le$DET:ART genre$NOM Calceolaria,$NAM être$VER:pres du$PRP:det plante$NOM herbacé$ADJ de$PRP le$DET:ART famille$NOM du$PRP:det Scrophulariaceae,$NAM ou$KON du$PRP:det Calceolariaceae$NAM selon$PRP le$DET:ART classification$NOM phylogénétique.$ADJ
FR#WIKIDATA#Q245054	footballeur$NOM italien$ADJ
FR#WIKIDATA#Q2012544	commune$NOM brésilien$ADJ
FR#WIKI#Domèvre-sur-Vezouze	Domèvre-sur-Vezouze$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP Meurthe-et-Moselle$NAM et$KON le$DET:ART région$NOM Lorraine.$NAM
FR#WIKI#Alhaurín_el_Grande	Alhaurín$NAM El$NAM Grande$NAM être$VER:pres un$DET:ART commune$NOM Andalouse$NAM dans$PRP le$DET:ART province$NOM de$PRP Málaga.$NAM
FR#WIKI#L'Anneau-Monde	L’Anneau-Monde$NAM être$VER:pres un$DET:ART roman$NOM de$PRP science-fiction$NOM de$PRP l’auteur$NOM américain$ADJ Larry$NAM Niven,$ABR paraître$VER:pper au$PRP:det États-Unis$NAM en$PRP @card@$NUM et$KON en$PRP France$NAM en$PRP @ord@$NAM
FR#WIKI#Petersburg_(Alaska)	Petersburg$NAM être$VER:pres un$DET:ART ville$NOM d'Alaska$VER:simp au$PRP:det États-Unis$NAM dans$PRP le$DET:ART région$NOM de$PRP recensement$NOM de$PRP Wrangell-Petersburg$NAM dont$PRO:REL le$DET:ART population$NOM être$VER:impf de$PRP @card@$NUM habitant$NOM en$PRP @ord@$NAM
FR#WIKI#Jixi	Jixi$NAM être$VER:pres un$DET:ART ville$NOM de$PRP le$DET:ART province$NOM du$PRP:det Heilongjiang,$NOM au$PRP:det nord-est$NOM de$PRP le$DET:ART Chine.$ABR
FR#WIKI#Édouard_Debat-Ponsan	Édouard$NAM Debat-Ponsan,$ABR naître$VER:pper à$PRP Toulouse$NAM le$DET:ART et$KON mort$NOM à$PRP Paris$NAM le,$NOM être$VER:pres un$DET:ART peintre$NOM français.$ADJ
FR#WIKIDATA#Q1005074	Ville-district$NOM chinois$ADJ
FR#WIKIDATA#Q586888	commune$NOM français$ADJ
FR#WIKIDATA#Q1261668	commune$NOM tchèque$ADJ
FR#WIKI#George_Walton	George$NAM Walton,$NAM naître$VER:pper en$PRP @card@$NUM ou$KON @card@$NUM et$KON mort$NOM le$DET:ART @card@$NUM février$NOM @card@$NUM à$PRP Augusta,$NAM être$VER:simp le$DET:ART représentant$NOM de$PRP le$DET:ART Géorgie$NAM au$PRP:det congrès$NOM continental,$ADJ il$PRO:PER signer$VER:simp le$DET:ART déclaration$NOM d'indépendance$NOM du$PRP:det États-Unis$NAM d'Amérique$ADJ en$PRP tant$ADV que$KON représenter$VER:ppre de$PRP le$DET:ART Géorgie$NAM et$KON être$VER:simp aussi$ADV gouverneur$NOM de$PRP ce$PRO:DEM État.$NOM
FR#WIKIDATA#Q1080982	logiciel$NOM informatique$ADJ
FR#WIKI#Bologne_(Haute-Marne)	Bologne$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Haute-Marne$NAM et$KON le$DET:ART région$NOM Champagne-Ardenne.$ABR
FR#WIKI#Mallawi	Mallawi$NAM être$VER:pres un$DET:ART ville$NOM d'Égypte.$ADJ
FR#WIKIDATA#Q9178	zone$NOM du$PRP:det Népal$NAM
FR#WIKIDATA#Q151783	groupe$NOM de$PRP musique$NOM britannique$ADJ
FR#WIKIDATA#Q654716	groupe$NOM de$PRP musique$NOM américain$ADJ
FR#WIKIDATA#Q555515	acteur$NOM japonais$ADJ
FR#WIKI#Gygis_blanche	le$DET:ART Gygis$NAM blanc$ADJ être$VER:pres un$DET:ART espèce$NOM d'oiseau$NOM marin$ADJ présent$ADJ dans$PRP tout$PRO:IND le$DET:ART région$NOM tropicales.$ADJ
FR#WIKI#Peter_Finch	Frederick$NAM George$NAM Peter$NAM Ingle$NAM Finch,$ABR naître$VER:pper le$DET:ART à$PRP Londres$NAM et$KON décéder$VER:pper le$DET:ART à$PRP Los$NAM Angeles$NAM d'une$VER:pres crise$NOM cardiaque,$ADJ être$VER:pres un$DET:ART acteur$NOM australien$ADJ d'origine$NOM britannique.$ADJ
FR#WIKI#Pétrel_gongon	le$DET:ART pétrel$NOM gongon,$ADJ appeler$VER:pper aussi$ADV Diablotin$NAM du$PRP:det Cap-Vert$NAM ou$KON Diablotin$NAM gongon,$ADJ être$VER:pres un$DET:ART espèce$NOM d'oiseau$NOM de$PRP mer$NOM de$PRP le$DET:ART famille$NOM du$PRP:det Procellariidae.$NAM
FR#WIKI#Emmanuelle_Devos	Emmanuelle$NAM Devos,$ABR naître$VER:pper le$DET:ART à$PRP Puteaux,$NOM être$VER:pres un$DET:ART acteur|actrice$NOM française.$ADJ
FR#WIKI#Nikola_Drinčić	Nikola$NOM Drinčić,$ABR naître$VER:pper le$DET:ART à$PRP Belgrade,$NAM être$VER:pres un$DET:ART footballeur$NOM international$ADJ monténégrin.$ADJ
FR#WIKI#Tension_de_cycle	en$PRP chimie$NOM organique,$ADJ le$DET:ART tension$NOM de$PRP cycle$NOM ou$KON contrainte$NOM cyclique$ADJ désigner$VER:pres le$DET:ART déstabilisation$NOM d'une$VER:subp molécule$NOM cyclique,$ADJ tel$PRO:DEM qu'un$ADJ cycloalcane,$NOM causer$VER:pper par$PRP l'orientation$NOM spatial$ADJ du$PRP:det atome$NOM qui$PRO:REL le$DET:ART composent.$NOM
FR#WIKI#Province_de_Narciso_Campero	le$DET:ART province$NOM de$PRP Narciso$NAM Campero$NAM être$VER:pres un$DET:ART du$PRP:det @card@$NUM province$NOM du$PRP:det département$NOM de$PRP Cochabamba,$NAM en$PRP Bolivie.$NAM
FR#WIKI#Robert_Baldwin	Robert$NAM Baldwin,$NAM naître$VER:pper à$PRP York$NAM le$DET:ART @card@$NUM mai$NOM @card@$NUM et$KON décéder$VER:pper le$DET:ART @card@$NUM décembre$NOM @card@$NUM être$VER:impf un$DET:ART homme$NOM politique$ADJ canadien.$ADJ
FR#WIKI#Tchirtchik_(ville)	Tchitchik$NAM ou$KON Chirchiq$NAM être$VER:pres un$DET:ART ville$NOM de$PRP le$DET:ART province$NOM de$PRP Tachkent,$NOM en$PRP Ouzbékistan.$ABR
FR#WIKI#Inscriptiones_Graecae	le$DET:ART Inscriptiones$NOM Graecae$NAM être$VER:pres un$DET:ART recueil$NOM monumental$ADJ avoir$VER:ppre pour$PRP but$NOM de$PRP rassembler$VER:infi dans$PRP un$DET:ART publication$NOM scientifique$ADJ tout$PRO:IND le$DET:ART inscription$NOM antique$ADJ en$PRP grec$NOM ancien$ADJ découvrir$VER:pper en$PRP Europe.$NAM
FR#WIKIDATA#Q1428363	commune$NOM français$ADJ
FR#WIKIDATA#Q5285	ville$NOM du$PRP:det philippin|philippine$NOM
FR#WIKI#Bulbul_rayé	le$DET:ART Bulbul$NAM rayé$ADJ être$VER:pres un$DET:ART espèce$NOM de$PRP passereau$NOM de$PRP le$DET:ART famille$NOM du$PRP:det Pycnonotidae.$NAM
FR#WIKIDATA#Q1391476	commune$NOM espagnol$ADJ
FR#WIKIDATA#Q1756871	commune$NOM brésilien$ADJ
FR#WIKI#Hyposensibilisation	L'hyposensibilisation,$NOM aussi$ADV connaître$VER:pper comme$KON vaccination$NOM anti-allergique$ADJ ou$KON désensibilisation$NOM ou$KON ITS,$NOM viser$VER:pres à$PRP rééduquer$VER:infi le$DET:ART système$NOM immunitaire$ADJ en$PRP administrer$VER:ppre du$PRP:det dose$NOM croissant$ADJ d’allergènes$ADJ afin$KON d’induire$VER:infi un$DET:ART tolérance$NOM spécifique$ADJ à$PRP long$ADJ terme.$NOM
FR#WIKIDATA#Q457022	acteur$NOM américain$ADJ
FR#WIKI#Almenara_(Minas_Gerais)	Almenara$NAM être$VER:pres un$DET:ART ville$NOM brésilien$ADJ du$PRP:det nord$NOM de$PRP l'État$NOM du$PRP:det Minas$NAM Gerais.$ABR
FR#WIKI#Randy_Kraft	Randy$NAM Steven$NAM Kraft,$ABR naître$VER:pper le$DET:ART @card@$NUM mars$NOM @card@$NUM à$PRP Long$NAM Beach$NAM en$PRP Californie,$NAM être$VER:pres un$DET:ART tueur$NOM en$PRP série$NOM américain$ADJ qui$PRO:REL avoir$VER:pres sévir$VER:pper entre$PRP @card@$NUM et$KON @card@$NUM et$KON qui$PRO:REL être$VER:simp condamner$VER:pper pour$PRP @card@$NUM meurtre$NOM et$KON fortement$ADV suspecter$VER:pper d’en$NOM avoir$VER:infi commettre$VER:pper au$PRP:det moins$ADV @card@$NUM autres.$ABR
FR#WIKI#Cinfães	Cinfães$NAM être$VER:pres un$DET:ART municipalité$NOM du$PRP:det Portugal,$NOM situer$VER:pper dans$PRP le$DET:ART district$NOM de$PRP Viseu$NAM et$KON le$DET:ART région$NOM Nord.$ABR
